"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.271660721E1,6.166980267E1,2.359745455E1,1.216081703E2,1.158212913E0,1.753463135E2,4.748651551E0,5.076951278E0
4.371680033E1,6.166979413E1,2.359745163E1,1.218760906E2,9.874221670E-1,1.753463135E2,4.748651562E0,5.417564130E0
4.471698129E1,6.166978331E1,2.359744797E1,1.220501674E2,9.842356231E-1,1.753463135E2,4.748651569E0,5.398393392E0
4.571715093E1,6.166977196E1,2.359744585E1,1.221889713E2,1.028775899E0,1.753463135E2,4.748651582E0,5.794789383E0
4.671730983E1,6.166975572E1,2.359745095E1,1.220796969E2,1.188388391E0,1.753463135E2,4.748651591E0,5.521663377E0
4.771745837E1,6.166974013E1,2.359745151E1,1.219433703E2,1.371441938E0,1.753463135E2,4.748651611E0,5.294612772E0
4.871759844E1,6.166972557E1,2.359745147E1,1.222344500E2,1.462665969E0,1.758586426E2,4.748651624E0,5.677418132E0
4.971772945E1,6.166971221E1,2.359745224E1,1.221437823E2,1.475982042E0,1.758586426E2,4.748651645E0,6.197162263E0
5.071785116E1,6.166969642E1,2.359745464E1,1.223224572E2,1.519434689E0,1.758586426E2,4.748651638E0,6.274789028E0
5.171796703E1,6.166968259E1,2.359745675E1,1.222801145E2,1.487328661E0,1.758586426E2,4.748651665E0,6.509576420E0
5.271807504E1,6.166967246E1,2.359745829E1,1.222616445E2,1.220041574E0,1.758586426E2,4.748651633E0,6.039704656E0
5.371817589E1,6.166966436E1,2.359745953E1,1.222236070E2,9.629658747E-1,1.758586426E2,4.748651590E0,5.384731618E0
5.471827126E1,6.166965197E1,2.359746141E1,1.223935384E2,1.099620774E0,1.758586426E2,4.748651599E0,5.439641310E0
5.571835923E1,6.166963847E1,2.359746347E1,1.222127825E2,1.224768645E0,1.758586426E2,4.748651611E0,5.354961816E0
5.671844304E1,6.166961648E1,2.359747249E1,1.223654454E2,1.217731095E0,1.548143921E2,4.748651583E0,5.413950419E0
5.771852040E1,6.166960025E1,2.359748855E1,1.227307198E2,1.451476683E0,1.548143921E2,4.748651605E0,5.313509605E0
5.871859443E1,6.166958644E1,2.359750222E1,1.228493967E2,1.486623993E0,1.548143921E2,4.748651618E0,5.897506828E0
5.971866179E1,6.166957188E1,2.359751662E1,1.232537349E2,1.508820078E0,1.548143921E2,4.748651621E0,6.000938670E0
6.071872675E1,6.166955893E1,2.359752944E1,1.230423386E2,1.489913062E0,1.548143921E2,4.748651609E0,6.099245276E0
6.171878731E1,6.166954581E1,2.359754242E1,1.231823038E2,1.517769776E0,1.548143921E2,4.748651559E0,5.955433828E0
6.271884406E1,6.166952660E1,2.359756364E1,1.230354936E2,1.492873582E0,1.406092529E2,4.748651547E0,6.012488371E0
6.371889555E1,6.166951598E1,2.359758200E1,1.226172918E2,1.483738124E0,1.406092529E2,4.748651547E0,5.966614650E0
6.471894562E1,6.166950517E1,2.359760069E1,1.225187668E2,1.514434307E0,1.406092529E2,4.748651549E0,5.976234825E0
6.571899188E1,6.166949385E1,2.359762024E1,1.226546598E2,1.531301661E0,1.406092529E2,4.748651567E0,5.971024191E0
6.671903539E1,6.166948028E1,2.359764368E1,1.226416988E2,1.539980612E0,1.406092529E2,4.748651556E0,5.912914589E0
