"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.487258334E-1,1.292598648E-1,5.194783330E-2,-1.219648494E0
7.586968334E-1,1.106677656E-1,5.656011701E-2,-1.052212304E0
7.686688334E-1,-1.086544231E-2,8.457295775E-2,-8.612691379E-1
7.786398334E-1,-1.163347408E-1,1.248860013E-1,-7.399370742E-1
7.886108335E-1,-1.896374828E-1,7.043322086E-2,-7.886934972E-1
7.985828335E-1,-2.679455875E-1,5.815640688E-2,-9.110687041E-1
8.085538333E-1,-4.107388330E-1,1.552804130E-1,-1.046955657E0
8.185258333E-1,-5.624344642E-1,3.007854509E-1,-1.221774541E0
8.284968333E-1,-7.032514970E-1,3.556785268E-1,-1.311435161E0
8.384688334E-1,-8.590356477E-1,4.027468586E-1,-1.338720024E0
8.484398334E-1,-9.887824394E-1,4.113478205E-1,-1.260417035E0
8.584108334E-1,-1.130794058E0,3.592576075E-1,-1.069524155E0
8.683828334E-1,-1.322029731E0,3.382245880E-1,-7.623658240E-1
8.783538335E-1,-1.460583161E0,4.315087277E-1,-3.432678115E-1
8.883258335E-1,-1.586157964E0,4.805089796E-1,4.086794436E-2
8.982968333E-1,-1.588479016E0,4.606796095E-1,3.787995869E-1
9.082688333E-1,-1.482608599E0,4.200888231E-1,5.964697909E-1
9.182398333E-1,-1.449337796E0,4.469392374E-1,7.207166916E-1
9.282108333E-1,-1.368434112E0,5.004798523E-1,7.244594944E-1
9.381828334E-1,-1.261133612E0,6.557731292E-1,6.874735165E-1
9.481538334E-1,-1.173770801E0,8.684074187E-1,6.225846255E-1
9.581258334E-1,-1.105850860E0,1.040787137E0,4.543725103E-1
9.680968334E-1,-1.072976498E0,1.060275614E0,2.433424044E-1
9.780688335E-1,-1.109654473E0,9.166633201E-1,-2.361573458E-2
9.880398335E-1,-1.286083096E0,9.068753734E-1,-1.075197709E-1
9.980108333E-1,-1.534763716E0,9.166846624E-1,-8.428410530E-2
1.007982833E0,-1.587356936E0,8.140315291E-1,-3.856589556E-2
1.017953833E0,-1.449162233E0,6.392310637E-1,-8.038752079E-2
